env_package	slot	value	val_count	fraction
host-associated	env_broad_scale	respiratory airway [UBERON:0001005]	29	0.00039399497316758373
host-associated	env_broad_scale	ribbon lake [ENVO:00000452]	1	1.3586033557502887e-05
host-associated	env_broad_scale	rumen [UBERON:0007365]	17	0.00023096257047754907
host-associated	env_broad_scale	saline water aquarium [ENVO:00002197]	54	0.0007336458121051559
host-associated	env_broad_scale	savanna soil [ENVO:00005746]	14	0.0001902044698050404
host-associated	env_broad_scale	shrubland biome [ENVO:01000176]	1311	0.017811289993886283
host-associated	env_broad_scale	skin epidermis [UBERON:0001003]	202	0.002744378778615583
host-associated	env_broad_scale	subtropical desert biome [ENVO:01000184]	3	4.075810067250866e-05
host-associated	env_broad_scale	tarn [ENVO:00000455]	1	1.3586033557502887e-05
host-associated	env_broad_scale	temperate biome [ENVO:01001831]	2250	0.030568575504381496
host-associated	env_broad_scale	temperate forest [ENVO:01001805]	1	1.3586033557502887e-05
host-associated	env_broad_scale	temperate mixed forest biome [ENVO:01000212]	121	0.0016439100604578494
host-associated	env_broad_scale	temperate shrubland biome [ENVO:01000215]	23	0.0003124787718225664
host-associated	env_broad_scale	terrestrial biome [ENVO:00000446]	1594	0.021656137490659602
host-associated	env_broad_scale	tidewater glacier [ENVO:00000456]	1	1.3586033557502887e-05
host-associated	env_broad_scale	tropical broadleaf forest biome [ENVO:01000200]	789	0.010719380476869779
host-associated	env_broad_scale	tropical dry broadleaf forest biome [ENVO:01000227]	60	0.0008151620134501732
host-associated	env_broad_scale	tropical grassland biome [ENVO:01000192]	757	0.010284627403029685
host-associated	env_broad_scale	tropical moist broadleaf forest biome [ENVO:01000228]	303	0.004116568167923375
host-associated	env_broad_scale	tropical shrubland biome [ENVO:01000214]	1	1.3586033557502887e-05
host-associated	env_broad_scale	turlough [ENVO:00000454]	1	1.3586033557502887e-05
host-associated	env_broad_scale	university campus [ENVO:00000467]	1	1.3586033557502887e-05
host-associated	env_broad_scale	unmapped [unmapped]	7164	0.09733034440595069
host-associated	env_broad_scale	urban biome [ENVO:01000249]	23603	0.32067115005774066
host-associated	env_broad_scale	valley glacier [ENVO:00000458]	1	1.3586033557502887e-05
host-associated	env_broad_scale	village biome [ENVO:01000246]	572	0.0077712111948916515
host-associated	env_broad_scale	woodland biome [ENVO:01000175]	37	0.0005026832416276068
host-associated	env_broad_scale	zoological garden [ENVO:00010625]	2	2.7172067115005773e-05
host-associated	env_local_scale	Anatomical entity [FMA:62955]	9	0.000122274302017526
host-associated	env_local_scale	Bathymodiolus-dominated oceanic mussel reef [ENVO:01001385]	39	0.0005298553087426126
host-associated	env_local_scale	Bathymodiolus-dominated oceanic mussel reef [ENVO:01001385] | Bathymodiolus-dominated oceanic mussel bed [ENVO:01001390]	37	0.0005026832416276068
host-associated	env_local_scale	Brain [FMA:50801]	35	0.00047551117451260106
host-associated	env_local_scale	DNA [CHEBI:16991]	1	1.3586033557502887e-05
host-associated	env_local_scale	Feces [FMA:64183]	2	2.7172067115005773e-05
host-associated	env_local_scale	Gut [FMA:45615]	485	0.0065892262753889
host-associated	env_local_scale	Heart [FMA:7088]	29	0.00039399497316758373
host-associated	env_local_scale	Liver [FMA:7197]	36	0.000489097208070104
host-associated	env_local_scale	Prostate [FMA:9600]	21	0.0002853067047075606
host-associated	env_local_scale	Spleen [FMA:7196]	24	0.00032606480538006926
host-associated	env_local_scale	Uterus [FMA:17558]	13	0.00017661843624753752
host-associated	env_local_scale	abattoir [ENVO:01000925]	1	1.3586033557502887e-05
host-associated	env_local_scale	abyssal plain [ENVO:00000244]	2	2.7172067115005773e-05
host-associated	env_local_scale	agricultural feature [ENVO:00000077]	575	0.00781196929556416
host-associated	env_local_scale	anaerobic [MICRO:0000495]	683	0.009279260919774471
host-associated	env_local_scale	anaerobic bioreactor [ENVO:00002124]	9	0.000122274302017526
host-associated	env_local_scale	animal aquaculture process [ENVO:01001254] | unmapped [unmapped]	107	0.001453705590652809
host-associated	env_local_scale	animal cage [ENVO:01000922]	638	0.008667889409686842
host-associated	env_local_scale	animal habitation [ENVO:00005803]	94	0.0012770871544052714
host-associated	env_local_scale	animal house [ENVO:00003040]	798	0.010841654778887305
host-associated	env_local_scale	bay [ENVO:00000032]	14	0.0001902044698050404
host-associated	env_local_scale	biofilm [ENVO:00002034]	18	0.000244548604035052
host-associated	env_local_scale	blank sample [NCBITaxon:2582415]	9	0.000122274302017526
host-associated	env_local_scale	campground [ENVO:01000935]	1	1.3586033557502887e-05
host-associated	env_local_scale	canopy [ENVO:01001242]	30	0.0004075810067250866
host-associated	env_local_scale	chopped meat [MICRO:0000611]	241	0.0032742340873581958
host-associated	env_local_scale	coast [ENVO:01000687]	586	0.007961415664696691
host-associated	env_local_scale	continental subsurface zone [ENVO:01000942]	1	1.3586033557502887e-05
host-associated	env_local_scale	control [EFO:0001461]	6	8.151620134501732e-05
host-associated	env_local_scale	coral reef [ENVO:00000150]	165	0.0022416955369879764
host-associated	env_local_scale	day care building [ENVO:01000927]	1	1.3586033557502887e-05
host-associated	env_local_scale	dedicated campground [ENVO:01000936]	1	1.3586033557502887e-05
host-associated	env_local_scale	digestive tract [UBERON:0001555]	61	0.0008287480470076761
host-associated	env_local_scale	ecological corridor [ENVO:01000930]	1	1.3586033557502887e-05
host-associated	env_local_scale	ecotone [ENVO:01000947]	1	1.3586033557502887e-05
host-associated	env_local_scale	environmental system determined by an organism [ENVO:01001000]	5	6.793016778751444e-05
host-associated	env_local_scale	feces [ENVO:00002003]	2	2.7172067115005773e-05
host-associated	env_local_scale	field [ENVO:01000352]	3	4.075810067250866e-05
host-associated	env_local_scale	fish farm [ENVO:00000294]	47	0.0006385435772026357
host-associated	env_local_scale	fish processing building [ENVO:01000928]	1	1.3586033557502887e-05
host-associated	env_local_scale	fissure water [ENVO:01000940]	1	1.3586033557502887e-05
host-associated	env_local_scale	fjord [ENVO:00000039]	1	1.3586033557502887e-05
host-associated	env_local_scale	flood plain [ENVO:00000255]	5	6.793016778751444e-05
host-associated	env_local_scale	forest [ENVO:00000111]	311	0.0042252564363833975
host-associated	env_local_scale	hospital [ENVO:00002173]	1118	0.015189185517288227
host-associated	env_local_scale	hot tub [ENVO:01000938]	1	1.3586033557502887e-05
host-associated	env_local_scale	impromptu campground [ENVO:01000937]	1	1.3586033557502887e-05
host-associated	env_local_scale	intestine environment [ENVO:2100002]	163	0.0022145234698729708
host-associated	env_local_scale	kelp forest [ENVO:01000058]	1956	0.026574281638475646
host-associated	env_local_scale	knackery [ENVO:01000926]	1	1.3586033557502887e-05
host-associated	env_local_scale	lake [ENVO:00000020]	1	1.3586033557502887e-05
host-associated	env_local_scale	lumen [UO:0000118]	5	6.793016778751444e-05
host-associated	env_local_scale	marine benthic feature [ENVO:01000105]	81	0.0011004687181577339
host-associated	env_local_scale	marine coral reef deep fore reef [ENVO:01000149]	22	0.00029889273826506354
host-associated	env_local_scale	mesoscopic physical object [ENVO:00002004]	47	0.0006385435772026357
host-associated	env_local_scale	microbial feature [ENVO:01000007]	78	0.0010597106174852252
host-associated	env_local_scale	microbial feature [ENVO:01000007] | cultured cell population [OBI:0100060]	48	0.0006521296107601385
